iter	Passed	Remaining
0	47	46964
1	48	24114
2	49	16445
3	50	12557
4	51	10309
5	52	8702
6	53	7586
7	54	6747
8	55	6094
9	56	5560
10	56	5121
11	57	4739
12	58	4426
13	59	4183
14	60	3965
15	61	3765
16	61	3577
17	62	3411
18	63	3260
19	64	3184
20	65	3064
21	66	2958
22	67	2865
23	68	2777
24	68	2687
25	69	2611
26	70	2545
27	72	2504
28	72	2438
29	73	2376
30	73	2307
31	74	2247
32	75	2209
33	76	2168
34	77	2125
35	77	2081
36	78	2046
37	79	2005
38	79	1964
39	80	1926
40	80	1885
41	81	1857
42	82	1830
43	82	1800
44	83	1777
45	84	1746
46	84	1717
47	85	1697
48	86	1677
49	87	1657
50	87	1636
51	88	1613
52	89	1597
53	90	1579
54	91	1567
55	92	1553
56	92	1534
57	93	1519
58	94	1505
59	95	1489
60	95	1476
61	96	1458
62	96	1440
63	97	1428
64	98	1417
65	99	1404
66	99	1390
67	100	1376
68	106	1438
69	108	1439
70	108	1422
71	109	1407
72	109	1394
73	110	1384
74	111	1376
75	112	1367
76	113	1358
77	114	1350
78	114	1339
79	115	1326
80	116	1319
81	117	1310
82	117	1303
83	118	1291
84	119	1282
85	119	1270
86	120	1259
87	120	1252
88	121	1244
89	124	1262
90	126	1261
91	126	1250
92	127	1240
93	127	1231
94	128	1225
95	129	1217
96	130	1210
97	130	1201
98	131	1194
99	132	1188
100	132	1181
101	133	1174
102	133	1165
103	134	1157
104	134	1148
105	135	1141
106	135	1133
107	136	1126
108	137	1120
109	137	1112
110	138	1107
111	139	1103
112	140	1098
113	140	1092
114	140	1085
115	141	1079
116	142	1072
117	142	1067
118	143	1065
119	144	1059
120	145	1054
121	145	1048
122	147	1053
123	148	1048
124	148	1042
125	149	1039
126	150	1032
127	150	1026
128	151	1021
129	151	1015
130	155	1033
131	156	1027
132	157	1023
133	157	1019
134	158	1013
135	158	1007
136	159	1002
137	159	997
138	160	992
139	160	986
140	161	981
141	161	976
142	162	971
143	162	967
144	163	961
145	163	957
146	164	952
147	164	947
148	164	941
149	165	938
150	166	934
151	166	931
152	167	928
153	168	923
154	168	920
155	169	916
156	170	913
157	170	909
158	171	905
159	171	902
160	174	908
161	176	910
162	176	906
163	177	905
164	178	904
165	179	900
166	179	896
167	180	892
168	180	888
169	181	887
170	182	884
171	183	882
172	184	883
173	185	881
174	186	878
175	187	877
176	188	874
177	189	875
178	190	872
179	191	870
180	191	868
181	192	864
182	193	862
183	193	859
184	194	857
185	195	854
186	195	851
187	196	848
188	197	845
189	197	842
190	198	840
191	198	837
192	199	834
193	201	838
194	202	836
195	203	834
196	204	832
197	204	830
198	205	827
199	206	825
200	207	826
201	208	824
202	209	822
203	210	820
204	211	818
205	211	816
206	212	814
207	213	812
208	214	810
209	214	808
210	215	805
211	220	817
212	220	815
213	221	813
214	222	811
215	223	809
216	223	807
217	224	806
218	225	804
219	226	802
220	226	799
221	227	797
222	228	795
223	228	793
224	229	791
225	230	789
226	231	787
227	234	793
228	235	794
229	237	794
230	237	792
231	238	789
232	239	788
233	240	786
234	241	784
235	242	783
236	242	781
237	243	780
238	244	779
239	245	777
240	246	775
241	247	773
242	249	776
243	249	774
244	250	772
245	251	770
246	252	768
247	252	766
248	253	764
249	253	761
250	254	759
251	255	757
252	255	754
253	256	752
254	256	750
255	257	748
256	258	747
257	258	744
258	259	742
259	259	739
260	260	737
261	260	734
262	267	748
263	267	746
264	268	743
265	268	741
266	269	739
267	270	737
268	270	735
269	271	733
270	271	730
271	272	729
272	273	727
273	273	724
274	274	722
275	274	721
276	275	718
277	276	717
278	276	714
279	277	712
280	277	710
281	278	708
282	281	713
283	282	711
284	282	709
285	283	707
286	285	709
287	286	707
288	286	706
289	287	704
290	288	702
291	288	700
292	289	698
293	289	696
294	290	694
295	291	692
296	292	691
297	292	689
298	293	688
299	295	689
300	296	687
301	296	686
302	297	684
303	298	683
304	299	681
305	299	680
306	300	678
307	301	677
308	302	675
309	302	674
310	303	672
311	304	671
312	305	670
313	306	668
314	306	667
315	307	666
316	308	664
317	309	663
318	312	666
319	313	665
320	313	664
321	314	662
322	315	661
323	316	659
324	316	658
325	317	656
326	318	654
327	320	656
328	321	654
329	321	653
330	322	652
331	323	650
332	323	648
333	324	647
334	327	650
335	329	650
336	330	649
337	330	647
338	331	645
339	332	644
340	332	642
341	333	641
342	334	640
343	334	638
344	335	636
345	336	636
346	337	635
347	337	633
348	338	631
349	339	629
350	339	628
351	340	626
352	342	628
353	343	626
354	344	625
355	345	624
356	345	623
357	346	621
358	346	619
359	347	617
360	348	616
361	348	614
362	349	612
363	350	612
364	351	610
365	351	608
366	352	607
367	352	605
368	353	604
369	353	602
370	354	600
371	354	599
372	355	597
373	355	595
374	358	596
375	358	595
376	359	593
377	359	591
378	360	590
379	361	589
380	361	587
381	362	585
382	362	583
383	363	582
384	363	581
385	364	579
386	365	579
387	366	578
388	366	576
389	367	575
390	368	573
391	368	572
392	369	570
393	369	568
394	370	567
395	371	566
